#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-codec-1.6.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-collections-3.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-digester-1.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-httpclient-3.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-lang-2.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-logging-1.1.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-logging-api.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\commons-logging.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\dom4j-1.6.1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\fluent-hc-4.2.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\forms-1.3.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\ftpserver-dev.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\gson-2.2.4.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\httpclient-4.2.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\httpclient-cache-4.2.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\httpcore-4.2.4.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\httpmime-4.2.5.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\jaxen.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\jdom.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\jersey-client-1.5-ea03.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\jersey-core-1.5-ea03.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\jsch-0.1.48.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\lucene-CJK.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\lucene-core-2.0.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\mail.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\maverick-ssh1.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\maverick-ssh2.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\maverick.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\netscape.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\sshtools-net.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\sshtools-util.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\tar.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\xercesImpl.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\utility-1.62\xml-apis.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\utilities\localization_tool\localization_tool.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\utilities\localization_tool\poi-3.0.1-FINAL-20070705.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\utilities\localization_tool\poi-contrib-3.0.1-FINAL-20070705.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\utilities\localization_tool\poi-scratchpad-3.0.1-FINAL-20070705.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\utilities\uninstall\uninstall.jar",,,"False","False",,,"USBLND0150",
